"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"RSM00026072","PETROKREPOST, RS","2023-07-05","0.02","62","71","55"
"RSM00026072","PETROKREPOST, RS","2023-07-06","0.01","65","79","53"
"RSM00026072","PETROKREPOST, RS","2023-07-07","0.08","63","69",
"RSM00026072","PETROKREPOST, RS","2023-07-08","0.39","62","71","53"
"RSM00026072","PETROKREPOST, RS","2023-07-09","0.00","56","60",
"RSM00026072","PETROKREPOST, RS","2023-07-10","0.00","56","61","50"
"RSM00026072","PETROKREPOST, RS","2023-07-11","0.00","58","65","51"
"RSM00026072","PETROKREPOST, RS","2023-07-12","0.00","61","69","49"
"RSM00026072","PETROKREPOST, RS","2023-07-13","0.00","60","68","55"
"RSM00026072","PETROKREPOST, RS","2023-07-14","0.00","65","75","50"
"RSM00026072","PETROKREPOST, RS","2023-07-15","0.12","64","77",
"RSM00026072","PETROKREPOST, RS","2023-07-16","0.00","69","82","56"
"RSM00026072","PETROKREPOST, RS","2023-07-17","0.00","68","78",
"RSM00026072","PETROKREPOST, RS","2023-07-18","0.08","62","67",
"RSM00026072","PETROKREPOST, RS","2023-07-19","0.01","63","71","55"
"RSM00026072","PETROKREPOST, RS","2023-07-20","0.00","64","71","57"
"RSM00026072","PETROKREPOST, RS","2023-07-21","0.00","63","69","54"
"RSM00026072","PETROKREPOST, RS","2023-07-22","0.00","64","73",
"RSM00026072","PETROKREPOST, RS","2023-07-23","0.00","62","72","53"
"RSM00026072","PETROKREPOST, RS","2023-07-24","0.00","61","71","53"
"RSM00026072","PETROKREPOST, RS","2023-07-25","0.00","65","76","52"
"RSM00026072","PETROKREPOST, RS","2023-07-26","0.08","64","69","60"
"RSM00026072","PETROKREPOST, RS","2023-07-27","0.04","66","74","60"
"RSM00026072","PETROKREPOST, RS","2023-07-28","0.71","59","65","56"
"RSM00026072","PETROKREPOST, RS","2023-07-29","0.00","63","73","52"
"RSM00026072","PETROKREPOST, RS","2023-07-30","0.04","66","78","58"
"RSM00026072","PETROKREPOST, RS","2023-07-31","0.00","65","76","55"
"RSM00026072","PETROKREPOST, RS","2023-08-01","0.01","69","82","58"
"RSM00026072","PETROKREPOST, RS","2023-08-02","0.04","71","82","61"
"RSM00026072","PETROKREPOST, RS","2023-08-03","0.16","68","73","63"
"RSM00026072","PETROKREPOST, RS","2023-08-04","0.16","68","78","63"
"RSM00026072","PETROKREPOST, RS","2023-08-05","0.00","69","78","62"
"RSM00026072","PETROKREPOST, RS","2023-08-06","0.02","71","79","63"
"RSM00026072","PETROKREPOST, RS","2023-08-07","0.00","79","92","69"
"RSM00026072","PETROKREPOST, RS","2023-08-08","0.00","71","79",
"RSM00026072","PETROKREPOST, RS","2023-08-09","0.00","65","74","54"
"RSM00026072","PETROKREPOST, RS","2023-08-10","0.00","65","80","55"
"RSM00026072","PETROKREPOST, RS","2023-08-11","0.00","65","78","53"
"RSM00026063","ST. PETERSBURG, RS","2023-01-01","0.01","35",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-02","0.00","29","33",
"RSM00026063","ST. PETERSBURG, RS","2023-01-03","0.04","28",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-04","0.11","22",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-05","0.08","10","17",
"RSM00026063","ST. PETERSBURG, RS","2023-01-06","0.09","13","20",
"RSM00026063","ST. PETERSBURG, RS","2023-01-07","0.01","11",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-08","0.00","3","10",
"RSM00026063","ST. PETERSBURG, RS","2023-01-09","0.00","14",,"8"
"RSM00026063","ST. PETERSBURG, RS","2023-01-10","0.08","21",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-11","0.00","27",,"25"
"RSM00026063","ST. PETERSBURG, RS","2023-01-12","0.12","26",,"24"
"RSM00026063","ST. PETERSBURG, RS","2023-01-13","0.10","33","37","26"
"RSM00026063","ST. PETERSBURG, RS","2023-01-14","0.11","35",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-15","0.08","36",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-16","0.09","36","38",
"RSM00026063","ST. PETERSBURG, RS","2023-01-17","0.00","33",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-18","0.16","35","37","32"
"RSM00026063","ST. PETERSBURG, RS","2023-01-19","0.39","36","41","33"
"RSM00026063","ST. PETERSBURG, RS","2023-01-20","0.00","33",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-21","0.00","26","32",
"RSM00026063","ST. PETERSBURG, RS","2023-01-22","0.01","26","27","23"
"RSM00026063","ST. PETERSBURG, RS","2023-01-23",,"24","25",
"RSM00026063","ST. PETERSBURG, RS","2023-01-24","0.03","29",,"20"
"RSM00026063","ST. PETERSBURG, RS","2023-01-25","0.02","34",,"31"
"RSM00026063","ST. PETERSBURG, RS","2023-01-26","0.28","36",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-27","0.02","28",,
"RSM00026063","ST. PETERSBURG, RS","2023-01-28","0.00","24",,"23"
"RSM00026063","ST. PETERSBURG, RS","2023-01-29","0.03","32",,"24"
"RSM00026063","ST. PETERSBURG, RS","2023-01-30","0.08","34","36",
"RSM00026063","ST. PETERSBURG, RS","2023-01-31","0.08","32",,
"RSM00026063","ST. PETERSBURG, RS","2023-02-01","0.21","32","33","29"
